1-930	0.00035330302585184374
1-1325	4.941890333204921e-05
1-1613	8.975682491040321e-05
1-139	2.485904491212028e-05
1-39	1.2343172295257216e-05
1-588	2.5229586832465757e-05
1-177	8.117776761642471e-05
1-821	7.254344136347563e-05
1-444	4.3759537604564645e-05
1-67	2.2830841763855068e-05
1-1535	4.6032753565663146e-05
1-1630	2.2096546551398987e-05
1-1403	0.00011903827809075967
1-1825	2.3263757465932856e-05
1-560	6.152878538301041e-05
1-815	0.00010402178501587948
1-70	6.939897455013427e-05
1-520	1.342021932125288e-05
1-1509	3.8661614900359236e-05
1-1208	4.833421664601053e-05
1-1614	3.292606584745478e-05
1-576	6.154105569664914e-05
1-921	1.6635194122172048e-05
1-279	0.00014491144367326055
1-1591	4.8371431498438e-05
1-297	5.844860173476958e-05
1-396	3.6809315802513635e-05
1-1569	9.198961783534415e-05
1-568	6.543874554469123e-05
1-1649	0.0001684281491886038
1-1976	6.700635181852547e-05
1-50	4.4219320635949775e-05
1-13	2.4727693305949247e-05
1-1867	4.2947349024303566e-05
1-564	4.309901194144542e-05
1-111	6.481627068071555e-05
1-1298	1.0214011921832754e-05
1-1958	2.3959707923825747e-05
1-183	2.1458554511274995e-05
1-63	1.630959130801751e-05
1-955	3.936319988480248e-05
1-235	2.509689189322023e-05
1-587	0.0001990809733288473
1-976	9.153477348266062e-05
1-1628	0.00010601301674747896
1-796	8.634259396475525e-05
1-1346	5.783922844652219e-05
1-1528	2.3305754498933462e-05
1-1663	2.9210516754355984e-05
1-1624	6.261738856376217e-05
1-1364	0.00012125791474591224
1-1480	0.00014419711157304097
1-1193	7.19751776510281e-05
1-839	6.0722246994188075e-05
1-1970	1.0598293580099691e-05
1-1054	6.255945380172947e-05
1-1405	9.284570941226957e-05
1-888	3.7961722859332556e-05
1-1464	2.8597885967634865e-05
1-745	0.00023962167518226955
1-209	0.00015746942167260577
1-1951	2.833749489499316e-05
1-479	7.73707009395867e-05
1-1463	0.00012002773474409138
1-1310	1.79250057819141e-05
1-1780	1.937428852713792e-05
1-1433	0.0001463622121086595
1-1419	7.007547410005865e-05
1-1907	2.3902455672869045e-05
1-1423	2.14147782695416e-05
1-328	0.0001859241222156446
1-1856	0.0001624231139848265
1-460	9.189693580169248e-06
1-1781	4.8704259167642133e-05
1-1695	6.82683115656019e-05
1-764	6.74274047863698e-05
1-383	6.265777965377923e-05
1-676	5.397635029577484e-05
1-1080	8.646641606541123e-06
1-1435	4.341946072911116e-05
1-1691	1.930218061950469e-05
1-1864	3.3403843764296366e-05
1-1795	0.00016887283911620808
1-1738	8.563055740801611e-05
1-1654	3.5127672618501895e-05
1-1066	6.54246590383591e-05
1-257	5.668872554688537e-05
1-1279	5.467562884547227e-05
1-341	9.339989369074224e-05
1-189	4.255287958608264e-05
1-1382	5.859674592978867e-05
1-1327	1.7636387469575947e-05
1-408	1.2310441336829653e-05
1-1349	0.00014705298935497438
1-1540	3.1934090651593846e-05
1-1963	5.4348762397196144e-05
1-633	8.70406690752411e-05
1-934	1.2182062463115544e-05
1-1735	9.617559427019197e-05
1-1870	6.876942718823667e-05
1-263	2.5583435160679228e-05
1-971	4.461812171480089e-05
1-613	6.704514837819934e-05
1-1455	5.275633422781492e-05
1-1729	9.536412691148764e-05
1-1621	8.326698864701222e-05
1-415	9.617925830889794e-05
1-914	0.00013929814513921517
1-213	8.144993826097246e-06
1-1040	0.00013930502555387948
1-458	5.240418719091072e-05
1-1730	3.854705432542859e-05
1-1222	0.00015533139151641123
1-1129	5.173686510683918e-05
1-1926	4.4883382136718045e-05
1-1261	4.8488636721582076e-05
1-268	1.6798797549738363e-05
1-1440	4.91508220945688e-05
1-1251	4.5688981500265916e-05
1-1210	3.628915203373759e-05
1-1485	4.785149692141933e-05
1-165	2.81880940121272e-05
1-565	2.9729297664633003e-05
1-74	8.144993826097246e-06
1-1245	2.1487553963505513e-05
1-1638	0.0005500493222611255
1-1635	2.4144896583100763e-05
1-1489	4.659254358326958e-05
1-316	7.802147331235437e-05
1-1626	0.000350064415251692
1-648	4.754581345039041e-05
1-840	3.2000757775722615e-05
1-1875	1.3534607784834523e-05
1-580	6.095560791732554e-05
1-1114	3.736944828857542e-05
1-154	0.0001534700158787589
1-1365	4.168813741169409e-05
1-127	0.00017778339811153168
1-751	8.215250065083787e-05
1-41	4.238828053696142e-05
1-762	0.0001379939544534765
1-1082	2.3470933955484836e-05
1-1888	6.904770424756058e-05
1-171	3.352407727140903e-05
1-1266	8.142886475191532e-05
1-1406	6.0422765874919045e-05
1-434	0.00014793911007678556
1-1267	6.169843680566707e-05
1-1935	3.209169722467015e-05
1-1072	4.960446576593054e-05
1-1548	4.098147471350453e-05
1-1579	2.0579677917542635e-05
1-500	3.828115537442387e-05
1-786	6.971820978612951e-05
1-616	6.633085290639319e-05
1-1042	2.6891953800232338e-05
1-1789	2.138488710777507e-05
1-689	0.00014382810349765276
1-816	3.602906061222094e-05
1-1615	5.121901785533282e-05
1-1581	9.227769727560246e-06
1-1681	0.00022388160462435118
1-849	3.3776539895633994e-05
1-791	7.861230339739965e-05
1-407	0.00020598485776432532
1-643	9.295929879237236e-05
1-1167	5.046543160858411e-05
1-1932	0.0001600498414213885
1-1655	8.771531396662572e-05
1-61	3.4873953861641274e-05
1-471	4.998539428886333e-05
1-1469	1.5856184074482428e-05
1-59	2.566776708508348e-05
1-1321	2.5693705457534816e-05
1-1379	4.945925478788438e-05
1-952	0.00014031745374591356
1-346	4.796253030683661e-05
1-803	4.5585967489809185e-05
1-314	0.00011916632592600831
1-1595	0.00010453917313548026
1-1450	4.6075580541866324e-05
1-503	9.501775461545041e-05
1-777	2.6009636779347897e-05
1-522	7.49450268864154e-05
1-1260	5.274865418308791e-05
1-1425	0.00011462566497586475
1-1799	6.0686331230633716e-05
1-172	6.43806644551e-05
1-362	4.7041523803220313e-05
1-1347	4.571309555419782e-05
1-602	2.7657381593004807e-05
1-1688	6.185962468933802e-05
1-1296	5.3712100941855565e-05
1-736	2.257987451104925e-05
1-58	3.1327507765662314e-05
1-134	0.00017358757091352788
1-1999	3.5331479785057574e-05
1-1940	0.0001897464172773034
1-1252	4.085929451667222e-05
1-1190	0.00020698837578237453
1-1716	3.048297767639246e-05
1-1927	0.00010275940825210563
1-224	2.899412538335248e-05
1-377	4.94759082322563e-05
1-861	0.00016274843058500704
1-129	5.423859285740389e-05
1-208	4.817138483199748e-05
1-538	7.180906529456079e-05
1-413	2.7297174690742872e-05
1-1132	4.7669028564933534e-05
1-501	1.2995150531901494e-05
1-1731	5.4767995219904974e-05
1-1345	1.202620498400574e-05
1-1195	4.272440407944515e-05
1-1301	4.938157617007275e-05
1-894	3.202036441424971e-05
1-126	3.436981861557565e-05
1-502	0.0011925176448375878
1-1824	4.1840118244971715e-05
1-659	5.453263345549073e-05
1-1064	2.495398663899856e-05
1-104	4.5434300674457865e-05
1-1431	3.7072316208969856e-05
1-1306	2.8705149324840305e-05
1-1827	3.237186250358991e-05
1-1668	9.398296173537557e-06
1-1910	2.406333535106483e-05
1-1815	3.497022329328386e-05
1-687	3.330333962791286e-05
1-1417	4.015214840724787e-05
1-323	0.00011439385727603263
1-1772	6.087264261277283e-05
1-56	4.6445939047180896e-05
1-1763	2.6984293965527665e-05
1-1606	4.009271506851825e-05
1-1979	0.00013162257443960701
1-1215	0.0001171116226729283
1-924	5.3523005779144845e-05
1-285	8.357491258143667e-05
1-1995	1.8136606949829474e-05
1-527	4.362901697522607e-05
1-389	0.00010954127130437964
1-255	0.00015775581390504594
1-641	0.00014193858379904818
1-336	4.782263368716328e-05
1-1660	2.3627800901995425e-05
1-1295	0.00010224336696351931
1-264	9.197387190467119e-05
1-1445	3.152389462663917e-05
1-881	3.601340527387356e-05
1-1917	2.8452523966813335e-05
1-5	4.1613159164520684e-05
1-1541	0.00010494408273480352
1-455	2.4013001341553684e-05
1-547	3.819433594321069e-05
1-1739	6.595928927531141e-05
1-1351	4.396338684650531e-05
